observableId	simulationConditionId	measurement	time	noiseParameters
prey_measured	condition1	2.19284816	0	0.1
prey_measured	condition1	0.06327687	1	0.1
prey_measured	condition1	0.35757408	2	0.1
prey_measured	condition1	3.31951237	3	0.1
prey_measured	condition1	0.05879940	4	0.1
prey_measured	condition1	0.44293644	5	0.1
prey_measured	condition1	1.90964131	6	0.1
prey_measured	condition1	0.20078026	7	0.1
prey_measured	condition1	0.15390398	8	0.1
prey_measured	condition1	1.14119531	9	0.1
prey_measured	condition1	2.36492371	10	0.1
prey_measured	condition1	0.10886517	11	0.1
prey_measured	condition1	0.40178362	12	0.1
prey_measured	condition1	3.23659825	13	0.1
prey_measured	condition1	0.17169689	14	0.1
prey_measured	condition1	0.30096508	15	0.1
prey_measured	condition1	1.66617861	16	0.1
prey_measured	condition1	0.21422144	17	0.1
prey_measured	condition1	0.31902221	18	0.1
prey_measured	condition1	0.99187119	19	0.1
prey_measured	condition1	2.90403954	20	0.1
